Patent,Abstract,Title
05704317,"In a method for operating a hydraulically controlled/regulated camshaft adjuster for internal combustion engines, in which a mechanical adjusting device designed to retard the camshaft is controlled by a piston that is hydraulically chargeable on at least one side, to which piston a pressure medium from a hydraulic circuit with a separately driven pump is supplied to an accumulator and to a valve controlled as a function of the operating point, in order to reduce harmful exhaust components when the engine starts, when the engine starts, pressure medium is supplied to the piston from an essentially full accumulator as a function of a start signal under valve control in order to advance the camshaft using the adjusting device.","Method for operating a hydraulically controlled/regulated camshaft"
05704411,"A method for heating a metal ingot for a injection molding comprising steps of finding out a time in advance relating to the time required for heating up to a set temperature in a test by using a thermocouple and a timer in a test furnace, of heating the ingot to the set temperature by heating it for that period of time in an actual furnace and of measuring a temperature at that time by a radiation thermometer to reserve the temperature based on the measurement. Further, it comprises steps of detecting an oxygen concentration within an atmosphere of the heating chamber after evacuating the heating chamber of the metal ingot to fill with an inert gas and of controlling power fed to an induction heating coil to heat the metal ingot when the detected oxygen concentration within the atmosphere is below a predetermined value.","Method and system for heating ingot for metal injection molding"
05704076,"A toilet tank flush valve for use in the demand mode, and which includes a discharge control and closure valve for controlling the flow of water from the tank or reservoir to the bowl, and with the valve further having a generally cylindrical configuration with an open top and a closed bottom defining a water retaining chamber, with the chamber extending upwardly above the discharge drain opening and being designed to retain a fill of a certain first quantity of water. Pivotal opening of the valve, while tipping a portion of the water outwardly of the enclosure, will not discharge more than about 70% of the volume of water retained within the enclosure so as to permit a more positive seal of the valve onto the discharge drain opening. A stopper installed in the end of the tubing that goes into the hole in the standpipe from the ballcock or a plastic tubing stopper with an internal bore that fits on the fitting on the top of the ballcock outlet stops a large amount of water from going into the toilet bowl through the standpipe by about 60% saving. The toilet tank water level guage allows the operater of the toilet to know when to release the flush lever on the toilet tank when the collar or washer goes down with the rod and rests on the top of the rod guide to shut off the water from going out of the toilet tank through the drain at the bottom of the toilet tank when there is enough water going out of the toilet tank to get a flush.","Controlled toilet flushing system"
05704407,"A tree delimbing device having a self-aligning cutter head for delimbing a tree stem which is mounted on a frame by a rotational and pivotal support. A substantially inelastic flexible member connects the cutter head to the frame to limit movement of the cutter head. A medial portion of the flexible member is connected to a fluid cylinder so as to urge the cutter head toward a centered position. An accumulator may be provided for regulating the pressure of the fluid in the cylinder. The positioning of the fluid cylinder may be adjustable. A tree stem diameter measuring device having a sliding position indicator may also be provided. A tree stem detector may also be included to sense the presence of a tree stem placed within the cutter head for automatically closing and opening the blades around the stem. A removable mount for the cutter head is also included.","Tree delimbing device"
05704301,"Rotary combustor and spring assembly therefor. The combustor includes a tire surrounding a kiln and a spring assembly interposed between the tire and kiln for interconnecting the tire and kiln. The spring assembly includes a clevis member attached to the tire and a spring member having an end portion thereof pivotally connected to the clevis member and an intermediate portion thereof attached to the kiln. The other end portion of the spring member is pivotally connected to an adjacent clevis member. The spring member allows for relative motion of the tire and the kiln as the first and second end portions of the spring member pivot about their respective clevis members.","Rotary combustor and spring assembly therefor"
05704400,"A method of routing rigid electrical conduit pipe between spaced apart enclosures includes measuring the distance between the enclosures and cutting a length of conduit pipe to the measured distance, less a bulkhead hub allowance. Bulkhead hubs are threaded onto each end of the cut length of conduit pipe, to make a conduit assembly. O-rings are contained at the end faces of each bulkhead hub. The conduit assembly is positioned between the enclosures having aligned openings. Inner hubs also having o-rings within a recess are threaded into the bulkhead hubs from the inside of each enclosure, forming a sealed electrical conduit pipe connection between the enclosures.","Electrical conduit assembly"
05704079,"A bath which has walls making a bottom and sides upwardly extending therefrom. At least one pair of injectors are either continuously mechanically reciprocating or sequentially actuated in a straight line so that fluid jets be moving in order to obtain jets repeatedly continuously displaced as straight lines, along one of these walls being perforated. This bath aims at body treatments, for instance overcoming body pains, particularly the self-relief of aching back. A method is also described for a bath having fluid injectors equally and symmetrically disposed about a median, in two rows, each row being parallel to the median, adjacent to, but short thereof, and parallel to the wall with the longitudinal opening, with the fluid injectors producing uniform fluid jets on each of the two rows, each jet having a uniform trajectory, displacing the trajectory from fluid jets, along two straight lines running across the trajectory, while maintaining spacing between the lines within 4.5.+-.1 inches, and repeating that displacement.","Baths having displacements of fluid jets in a straight line"
05704423,"A flat tube for a heat exchanger is disclosed. The flat tube is produced by assembling a main part made of a folded metal strip defining a flat side, two rounded ends and two side portions with two free edges, as well as a secondary part made of a metal strip forming a central portion with two flanged free edges, whereby the secondary part is sandwiched into the main part to form a multichannel tube. The tube may be used in heat exchangers for motor vehicle heating and/or air conditioning systems.","Flat tube for heat exchanger"
05704265,"A versatile high speed slicing machine moves first and second food loaves along parallel loaf paths into a slicing station where both loaves are sliced by a cyclically driven knife blade. There are independent loaf feed drives so that slices cut from one loaf may be thicker than slices from the other. The conveyor/transfer system onto which food loaves are deposited as cut includes a receiver located below the slicing station; a lift mechanism moves the receiver down during slicing so that slices always fall about the same distance after being cut. The receiver includes a plural-belt horizontal receiver conveyor with recieving pin wheels located between the belts that periodically discharges groups of food loaf slices onto a deceleration conveyor, from which the groups are fed onto a multi-belt scale conveyor. The scale conveyor is aligned with two receiver weighing grids, each grid including plural grid elements interleaved one-for-one with the scale conveyor belts. In each machine cycle a group of food loaf slices is deposited on a grid and weighed. Two slice groups are usually weighed individually and simultaneously. The group weights control two classifier transfer conveyors.","Conveyor/classifier system for versatile hi-speed food loaf slicing"
05704427,"The present invention provides a device for removing well casing from plugged and abandoned oil wells. The invention includes a unitary platform structure sufficiently small that the structure may be transported by boat to offshore well platforms and be lifted onto the well platform as a single unit. The platform also has a center station with an opening allowing the casing to pass therethrough. The device further includes at least one lifting means, which lifts the well casing through the center station. The present invention will serve many of the purposes of much larger drilling rigs or work over rigs typically employed on oil and gas well platforms. The present invention will be much quicker to transport and requires considerably less set-up time than dig rigs or work over rigs.","Portable well service rig"
05704406,"A combined harvesting and transporting forestry machine includes a multi-directional pivotable and extensible boom assembly (1) having a crosswise jib (2) fitted at its outermost end. A clamp harvester (4) is carried by one end of the crosswise jib (2). A loading gripper (3) is carried by the other end of the crosswise jib (2). The crosswise jib (2) is adapted to pivot about an axle (8) such that either tool (3,4) may be moved to a working position.","Combined harvesting and transporting machine"
05704434,"A hydraulic torque impulse mechanism comprising a rotatively driven drive member (10) which has a concentric fluid chamber (12) as well as radially acting cams (25, 26, 28), an output shaft (16) which extends into the fluid chamber (12) and which has two radially extending cylinder bores (18, 19) communicating with each other via a central high pressure chamber (23), two oppositely disposed piston elements (20, 21) reciprocable in the cylinder bores (18, 19) by the cams (25, 26, 28), and two valve chambers (45, 46) each comprising a number of fluid communicating openings (50) interconnecting the high pressure chamber (23) and the drive member fluid chamber (12), and a pressure responsive leaf spring valve element(51) for blocking fluid communication through these openings (50) as the pressure difference between the high pressure chamber (23) and the fluid chamber (12) exceeds a certain level.","Hydraulic torque impulse mechanism"
05704519,"The present invention comprises a) a push button containing a dose chamber, the chamber being defined by a peripheral wall and an upper wall and being traversed centrally by a tube which communicates with the ejection opening and is pierced radially, near its lower end, by at least one opening; b) a support which can be fitted on the container containing the material to be dispersed, on which the push button fits and on which it can slide axially; the upper part of the support is closed by a wall which comprises a central opening which permits the passage of the tube of the push button, and at least one orifice having an axis which is parallel to the opening, and made in the periphery of the support; c) a part of elastic deformable material, arranged between the push button and the support, the part comprising an extendable tubular portion which is closed at its base by a wall and which contains the tube of the push button; the lower end of the tube comes against the base wall; around the upper edge of the tubular portion, there is a collar adapted to insert itself in the upper wall of the support, for closing the peripheral orifice or orifices of the upper wall; the collar has at its upper face an annular groove bordered on the outside by a lip which is applied against the inner face of the outer wall of the push button; the collar is adapted to be deformed in order to free the peripheral orifice or orifices of the upper wall of the support.","Dosaging device which can be used on different containers"
05704177,"A glass block wall 10 having a curved section 11 between a straight block 12 and a straight bull nosed end block 13 employs a lower run of blocks 14 and an upper run of blocks 15 shown in phantom to expose an arrangement 16 of separation means between the runs of blocks. The curved section 11 includes a number of curved separation plates 19, 20 and 21 each formed to the shape of an upper end face of the respective blocks. A corner block 22 has a corresponding plate 21 whereas the plates 19 and 20 are formed to the shape of bend blocks 23 and 24, forming a compound curve in the curved section 11.","Separation means for glass block wall"
05704165,"A pivotable window sash assembly includes a pivot bar which engages a balance shoe for holding the sash to a master frame. The shoe has a recess in which a locking member is rotatably mounted. The locking member includes an exposed keyway which is selectively aligned with at least one slot in the shoe located at the recess. The pivot bar has an arm which functions as a key for fitting in the keyway and has at least one projection extending outwardly from the arm for fitting in each slot when the slot and keyway are aligned.","Pivotable window sash assembly"
05704437,"A method and apparatus for enhancing production from a well by lowering a tubular conductor into the well to a position in which the conductor extends downwardly from near the surface of the earth to a zone beneath the surface, and advancing a drilling unit past a whipstock held by the tubular conductor at the predetermined zone, and thereby deflecting the drilling unit in a lateral direction through an opening in a side wall of the conductor into the earth formation about the conductor. The whipstock may initially be attached to the drilling unit by a shear connection. An anchor may lock the lower end of the tubular conductor in place in the well, with a rotatively adjustable connection enabling rotation of the tubular conductor to different rotary positions for producing holes in the formation in different directions. A second whipstock may be lowerable into the tubular conductor to direct liners from within the conductor into the holes formed in the formation.","Methods and apparatus for drilling holes laterally from a well"
05704264,"This invention pertains to cutting dies for cutting continuous strip elements from a continuous web of fibrous and/or polymeric material. An improved cutting die has an elevated stripping land between adjacent but spaced elongated cutting knives. The elevated stripping land obviates the trim element becoming lodged in the trim zone between the cutting knives, and thereby assists in stripping the trim element from the trim zone.","Cutting die with elevated stripping land"
05704151,"The present invention relates to a safety lock that is attachable to the trigger of firearms to prevent accidental or unauthorized discharge. The safety lock comprises a pair of opposed plates, one having one or more pins extending normal therefrom, the other having a set of complementary pin-receiving orifices and housing a locking mechanism. The locking mechanism is controlled by a battery-powered microprocessor which not only receives and analyzes signals from a keypad, but detects unauthorized signals, controls deactivation of the keypad for preset period of time upon the detection of unauthorized user or improper code input, controls an audio alarm signal of the keypad by an unauthorized user, controls a low-battery warning signal, allows the authorized user to change the authorized signal, provides a method for disabling the locking system other than through the user determined code input at the keypad, monitors, controls, and provides for a low-battery voltage drain; and illuminates the keypad upon activation of the safety lock.","Portable battery-powered safety lock"
05704316,"A valve drive system of an internal combustion engine provided with a camshaft (20) adapted to be rotated by means of a crankshaft, a cam robe (38) rotatably mounted on the camshaft (20), a cam (24) formed integrally with the cam robe (38) and serving to open and close an intake valve (24) in cooperation with a valve spring (92), a viscous coupling (40) arranged between the camshaft (20) and the cam robe (38) and serving to transmit a rotatory force of the camshaft (20) to the cam robe (38), and a spiral spring (42) for connecting the camshaft (20) and the cam robe (38) and urging the cam robe (38) toward a predetermined rotational angle position with respect to the camshaft (20) .","Valve drive system of an internal combustion engine"
05704453,"A brake device for a bicycle includes a brake arm and a stud pivotally coupled to the brake arm. The stud includes a ring and a head formed in one end. A casing has an opening and a notch formed in each of the two ends. The ring is rotatably engaged in one of the opening for allowing the casing to be rotatably coupled to the stud. An elbow has an extension for rotatably engaging in the other opening and for allowing the elbow to be rotatable about the extension such that the brake device may be attached to different place of the bicycle.","Brake device having an elbow for guiding a brake cable"
05704412,"A retractable metal insert assembly for a core sand mold having at least one sand core element provided with walls to define an opening communicating with a molding cavity, the walls presenting a stepped neck which is dimensionally accurate within .+-.0.002 inches, the mold further including a metal support associated with the core element. The insert assembly comprises: (a) a metal guide detachably secured to the metal support; (b) a metal chill element extendible through the opening to present a metal molding surface which insert has walls mateable with the stepped neck for accurate alignment; and (c) biasing means acting between the guide and insert to urge the mating walls together for self positioning of the insert. The insert assembly can be repeatedly reused in a method of making castings.","Self-aligning sand mold insert assembly"
05704449,"A scaffolding plank for a framework scaffolding or a suspended scaffolding, which has its object to eliminate a clearance in all directions of the scaffolding plank and to detachably mount a stopper at the back of a hook on a lateral member with a one-touch control. There is comprised of a horizontal plank body 6, a plurality of hooks 9, 10, 11, 12 provided at both front and rear ends of the plank body, a plurality of notches 13, 14a, 14b, 15, 16a, 16b likewise provided at both front and rear ends of the plank body, and a stopper mechanism S provided below each hook to be freely moved in and out, said front hook being provided on the same axis where the rear notch is provided, said rear hook being provided on the same axis where the front notch is provided.","Scaffolding planks"
05704420,"A finned tube heat exchanger is disclosed in which the structure thereof is simple, and the heat exchanging performance is increased. The heat exchanger has a plurality of fin plates arranged in parallel with one another, and a plurality of heat exchanger tubes extending through the fin plates. Each of the fin plates has a plurality of projected strips, and the strips include first to sixth rows of strips disposed in a parallel relationship. Each of the first and sixth rows of strips is formed of a trapezoidal strip and two parallelogrammic strips, each of the second and fifth rows of strips is formed of a trapezoidal strip, and each of the third and fourth rows of strips is formed of a rectangular strip.","Finned tube heat exchanger"
05704445,"A method of disabling a motor vehicle, comprising the steps of, firstly, providing an apparatus for disabling a motor vehicle which includes a plinth-like base small enough to fit in the palm of a person's hand. The base has a first substantially planar surface and a second substantially planar surface. At least one spike receiving aperture is provided in the first planar surface. At least one hollow tubular spike is removably secured in the at least one spike receiving aperture. The spike protrudes from the first planar surface at an angle of between 55 and 90 degrees. Secondly, positioning the plinth-like base under a tire of a motor vehicle with the at least one spike pointing toward the tire, such that upon the tire rolling over the plinth-like base, the at least one hollow tubular spike is transferred from the base to the tire, puncturing the tire and thereby serving as a conduit for the gradual escape of air to deflate the tire.","Method and apparatus for disabling a motor vehicle"
05704241,"An apparatus and method is shown for reforming the bottom of a container. The container is supported during processing by a container holder. A number of tooling rams each have a reforming roller supported by a pivot roller shaft that is in turn connectedly pinned to one end of a pivot arm. The opposite end of the pivot arm is connectedly pinned to an eccentric lug on a pivot base that is connected to a tooling drive shaft. The reforming roller is restrained axially by roller guide disks mounted to the tooling rams and is driven by the pivot arm such that the reforming roller travels along a circular orbital path of varying diameter in a plane perpendicular to the central axis of the pivot roller shaft and having a center of curvature position coextensive with the container axis. The tooling drive shaft is supported rotatably in and moved axially with a tooling ram that moves axially toward or away from the container. Axial and rotational movement of the pivot arm is converted to radial and rotational movement of the reforming roller as a result of the pinned connections between the pivot arm and the pivot base and the pivot arm and the pivot roller shaft, and as a result of the restraint on axial movement of the reforming roller. The container holder supports the container during reforming on portions of the outer periphery of the container that are axially offset from a plane defined by the circular orbital path traveled by the reforming roller.","Method and apparatus for inside can base reforming"
05704471,"A packet for wet tissue, has a packet containing wet tissues, and a lid unit having a sliding lid for covering and uncovering a tissue dispensing opening. The lid unit is fitted in an opening formed in the pouch and is attached to the periphery of the opening. The lid unit has a base plate provided with the tissue dispensing opening and a lid supporting part formed so as to surround the tissue dispensing opening. The sliding lid is supported horizontally slidably on the lid supporting part to cover and uncover the tissue dispensing opening. The tissue dispensing opening is sealed when the lid is closed.","Packet for wet tissue"
05704215,"An oil separator for a refrigeration system having a screw compressor for pressurizing and circulating refrigerant through the system, an evaporator, a condenser and an oil separator. The oil separator is placed within the housing of the condenser.","Internal oil separator for a refrigeration system condenser"
05704104,"A method and machine are disclosed for using a cold dry abrasion step for separating segments of discarded carpet into pile material (usually nylon) and backing layers (usually polypropylene) for recycling. A preferred method of abrasion uses dry ice pellets (made of frozen carbon dioxide) which are ejected at high speed from a set of nozzles that shoot the pellets directly into an abrasion zone, as a segment of discarded carpet on a conveyor system is being stripped apart and disassembled. The dry ice pellets ""freeze"" the binder material (usually latex) by lowering it to a temperature that makes the binder brittle and easy to break apart. The pellets also serve as abrasive agents, in a manner comparable to sand-blasting; however, unlike sandblasting or liquid (steam or chemical) systems, the dry ice pellets evaporate (sublimate) directly into gas without going through a liquid phase, and without leaving any liquid or gritty residue. This eliminates the need for a drying operation, which saves time and energy and avoids a potential air pollution problem; it also renders the recyclable output material free of unwanted liquid residues, grit, or other materials that would decrease the value of the output material. This invention also discloses other processing methods which use cold dry abrasion, such as the use of freezing to render the latex binder brittle, coupled with the use of pellets made of a compatible material (such as nylon pellets, for carpets with nylone piles) as abrasive agents that can be mixed with the pile fibers that are recovered from a carpet without decreasing the value of the reclaimed pile material.","Method and machine for recycling discarded carpets"
05704419,"A parallel plate heat sink, used in conjunction with an air moving device which provides an annular flow of air against the heat sink, is further provided with enhanced flow deflector means which selectively block potential exhaust paths so as to redirect the flow of air to the region under a central hub of the fan. This transforms otherwise stagnant air volume in the center of the heat sink into a primary cooling region thus lowering conduction losses and electronic component junction temperatures. Redirection of air flow includes passages within end fins which enhance capacity by improving the exiting flow.","Air flow distribution in integrated circuit spot coolers"
05704469,"A suture package having a base member, an upwardly extending outer wall about the periphery of the base member, a plurality of grooves in the base member for receiving a suture, and a top lid member. The package has a central needle park and a discharge opening in the lid member for removing a needle and suture from the package. The package may alternatively have spoke members and rib members extending up from the base member containing grooves which form a suture channel for receiving a suture.","Suture tray package having grooved winding surface"
05704455,"An automatic brake booster having the functioning of an automatic brake, or more specifically, an improvement of bellows contained in a shell thereof is disclosed. The bellows comprises a stepped tubular member having portions of different diameters, namely, a reduced diameter, a medium diameter and an increased diameter. By using a reinforcing ring having a rigidity in the step, an expansion to increase the diameter of the bellows when the atmosphere is introduced into the internal space of the bellows can be prevented. Different diameters of the portions of the bellows allows the likelihood to be minimized that an output loss of the brake booster may be caused by contact of bellows portions to each other as the bellows is axially shrunk. As compared with an accordion-like bellows, the stepped tubular bellows can utilize a simplified die assembly and manufacturing steps and thus can be manufactured inexpensively.","Automatic brake booster"
05704465,"An improved coupling assembly is disclosed for use in bulk material conveying systems. The coupling assembly includes a first tubular section having an annular flange. The assembly receives an endless rope assembly with spaced disks for moving bulk material including powdered, pelletized, and granulated material. A second tubular section has a portion extending into the first tubular section secured with first and second coupling members including a section overlying and engaging a portion of the second tubular section. A first flange section is disclosed which mates with a laterally projecting flange section of the first tubular section and a second flange section. Sealing elements for sealing the assembly from the escape of fluidizing gasses are disposed between the first flange sections of the coupling members and the laterally projecting flange portion of the first tubular section and between the first and second tubular sections. Axial and radial forces applied to the sealing elements when coupling members are secured to the tubular sections provide a fluid tight seal.","Coupling assembly for bulk material conveying systems"
05704514,"A composite pressure vessel, for the containment of pressurized fluid, having at least two opposed wall regions, and a plurality of internal fibers fixedly attached to and extending between the at least two opposed wall regions, interiorly of the pressure vessel, so as to resist the force of the pressurized fluid tending to force the at least two opposed wall regions apart. The fibers are disposed between the at least two opposed wall regions, and comprise a single fiber threaded through and between apertures defined in the at least two opposed wall regions so as to lace together the at least two opposed wall regions; and the apertures are of rounded funnel shape with a narrow channel at a proximal end thereof leading into said pressure vessel and with an enlarged portion at an opposite, distal end thereof, said apertures being spaced from one another so as to form a convex, rounded cross-section over which said single fiber is placed when said single fiber is threaded from one aperture to an adjacent aperture.","Composite pressure vessel"
05704476,"A hazardous material containment and storage unit is disclosed. The unit comprises a basin in which a plurality of molded plastic pods are positioned to form a support surface for placing containers of hazardous material such as conventional fifty-five gallon drums. Each pod may be molded form a collection basin so that only individual pods have to be removed and cleaned when a spill occurs. The containment tray formed by the basin and pods may be enclosed by a plurality of door structures pivotally attached to a door support arch. The vertical sides of the door support arch are positioned within recesses and attached to ledges on the outside surface of the basin. Each door structure has a top, side and front panel which covers a separate quadrant of the containment tray when the doors are closed. A pod for supporting a conventional drum in a generally horizontal orientation over the basin is also disclosed.","Hazardous material containment and storage unit"
05704421,"A heat exchanger mounted in an air conditioner is constructed such that at least one row of heat conduction pipe groups are arranged across an air passage. Each heat conduction pipe group is constructed such that a plurality of heat conduction pipes 22 are arranged in parallel with each other and a fine wire 23 made of a metallic material having excellent heat conductivity is spirally wound around each adjacent heat conduction pipe 22. Thus, performances of the heat exchanger can be improved without a possibility that the air conditioner is designed with larger dimensions. In addition, the heat exchanger includes a plurality of heat conduction pipes 39 arranged in the form of at least one row with a constant distance between adjacent ones and a plurality of twisted wires 40. The twisted wires 40 are arranged so as to alternately come in contact with one side and opposite side of each heat conduction pipe 39 extending at a right angle relative to the row direction of each heat conduction pipe 39, and moreover, alternately come in contact with one side and opposite other side of each heat conduction pipe 39 extending in the longitudinal direction. With this construction, high heat conductivity can be realized, and an occurrence of clogging with condensation can be prevented while improving heat conduction.","Air conditioner and heat exchanger used therefor"
05704169,"The basic shape of a large span dome (10) is defined by a primary network (20) of structural struts (15) which are so arranged between their junctions (16) that they fully triangulate the surface (13) of the dome. The struts throughout the network have substantially uniform cross-sectional dimensions which are defined with reference to strut loads encountered at and near the perimeter (37) of the dome. The central portion of the network is strengthened to withstand snap-through of the dome by a truss system (30) comprised of a secondary network (35) of truss members (33) which lie in a secondary surface (31) which is inside the dome and is spaced from the dome's triangulated surface. The primary (20) and secondary (35) networks are tied together by tie members (36) which extend between connections (34) of the truss members and the strut junctions (16) and which lie in the planes of webs (25) of respective struts. The assembly of the tie members to the strut junctions can be achieved by use of the same fasteners (26) which connect the struts to their junctions.","Space truss dome"
05704312,"Embodiments of a new woodpecker feeder are disclosed, each effectively preventing undesirable pest birds and squirrels from feeding yet allowing woodpeckers to feed by providing slotted access to the feed that is 6-12 mm. wide and more than 50 mm. in length and further by including a hard textured coating to dissuade squirrels from feeding. The method of feeding woodpeckers by restricting access to the food source based on the bill size and tongue length of the woodpecker as opposed to the pest birds is also disclosed.","Woodpecker feeder"
05704483,"A foldable shipping container or tray made of a single blank and preassembled to be unfolded into an open top tray having foldable leg structures depending from the corners of the bottom of the container to engage the outside upper corners of a like container or partition members protruding above the sides of a like container to maintain the containers in alignment with each other in their unfolded condition with the leg structures being foldable relative to the remainder of the container in either its folded or unfolded condition.","Folding tray type container"
05704428,"A disaster preventive apparatus has a gas cylinder support to which the head of a gas cylinder filled with CO.sub.2 gas is fixed, and the support is screwed in a top cover. When a bottom cover is turned by one hand while the top cover being held by the other hand after a lock pin, which locks the top cover and the gas cylinder support in a nonrotatable manner, is pulled out, the gas cylinder can be moved in the axial direction to the trigger side while being turned with a small force. Since the trigger is formed into a special shape such that the tip end face thereof and the outer peripheral surface of trigger tip end portion make an obtuse angle, a seal plate can be broken easily. Also, the broken portion of the seal plate is not separated from the seal plate and is bent inward in the gas cylinder, so that the ejection of CO.sub.2 gas is not hindered by seal plate chips. There is less possibility of bending and breaking of the trigger.","Disaster preventive apparatus"
05704479,"An improved wire and cable packaging system for use with a spool wound with wire rotatable about a spiral-wrapped paper tube includes a container and a unitary insert, disposable in the container, both made of cardboard. The container includes a pair of retaining flaps and a pay-out slot for dispensing the wire. The insert is adapted to fit inside the container and is provided for receiving and supporting the tube when assembled. The insert includes a base with a pair of end walls extending vertically from opposing ends of the base. The end walls each having a support flap extending therefrom that is foldable about bend lines to a vertical position, adjacent the end walls, for improving support strength. The insert includes a pair of support flutes centrally formed about each bend line to define a cradle for receiving the tube. The retaining flaps of the container also have a flute for engaging the tube when the retaining flaps are moved from an open position to a closed position to thereby hold the tube and the insert in place.","Wire storing and dispensing package"
05704230,"A process and apparatus for treating fabric articles containing cellulosic material to provide control shrinkage and durable-press properties for the fabric includes a system for exposing the fabric to an aerosol mist that uniformly supplies a liquid cellulosic cross linking agent and moisture to the fabric. Optionally, a liquid catalyst can be incorporated in the aerosol mist, whereby each droplet of the aerosol mist contains liquid cellulosic cross linking agent, moisture and catalyst promoting cross linking agent. Exposure of the fabric to the aerosol mist containing moisture, cross linking agent and catalyst, the fabric is cross linked at an elevated temperature and subsequently cleaned of cross linking chemicals. The fabric can also be treated using an aerosol mist containing other liquid chemical agents. Equipment for carrying out the process essentially includes a chamber having aerosol mist generating nozzles in communication with the interior of the chamber and appropriate supplies for compressed air and liquid chemicals in communication with the nozzles. Appropriate ventilating and heating systems are associated with the chamber.","Process and apparatus for treating cellulosic fiber-containing fabric"
05704498,"A transportable multi-purpose crane includes a platform having outriggers disposed at opposite ends thereof. A turntable is rotatably mounted to the platform between the outriggers on opposite ends of the platform, and has a center axis of rotation. A riser boom, having a first end and a second end, is pivotally mounted to the turntable at its first end, and the second end supports a first load carrying device. The riser boom points in a first direction with respect to the center axis of rotation, and is a telescoping boom. An upper boom, having a first end and a second end, has its first end pivotally mounted to the second end of the riser boom. The second end of the upper boom supports a second load carrying device. The upper boom points in a second direction, opposite the first direction, with respect to the center axis of rotation, and is a telescoping boom. By providing the riser boom and the upper boom such that the riser boom serves as a counterweight when the second load carrying device carries a load and such that the upper boom serves as a counterweight when the first load carrying device carries a load, the crane does not need a separate counterweight.","Transportable crane"
05704118,"A process for producing a carbon sensor for measuring a composition, includes (a) providing first and second carbon electrodes each comprised of a bundle of linear, thin carbon members; (b) surrounding the first carbon electrode by dipping the first carbon electrode in a solution comprised of a reactive substance which reacts chemically with the composition to be measured; (c) disposing the first carbon electrode and the solution in a cylindrical ion permeable membrane to hold the solution in the first carbon electrode as well as between the first carbon electrode and the cylindrical ion permeable membrane; (d) positioning the cylindrical ion permeable membrane including the first carbon electrode and the solution in an insulating tubular member; and (e) disposing the second carbon electrode between the insulating tubular member and the cylindrical ion permeable membrane. Alternatively, the solution may be poured into a cylindrical ion permeable membrane and the first carbon electrode may be inserted into the cylindrical ion permeable membrane to hold the solution between the first carbon electrode and the ion permeable membrane and thereby surround the bundle.","Method of making a carbon sensor electrode"
05704494,"A plastic disc holder for holding a plurality of discs separately, comprises axially opposed end walls; and laterally opposed side walls which are united with the end walls to constitute a rectangular parallelopiped box which is fully opened at upper and lower portions. Each side wall includes spaced side posts; an upper beam extending between upper portions of the side posts; an intermediate beam extending between intermediate portions of the side posts; a lower beam extending between lower portions of the side posts; first group of strut portions which extend between the upper and intermediate beams; and second group of strut portions which extend between the intermediate and lower beams. Each of the intermediate and lower beams is formed at an inner surface with a plurality of guide grooves for guiding the discs when the discs are put into the disc holder from the above.","Disc holder"
05704313,"A rotating aquarium for use with live fish and particularly live corals including a canopy with light fixtures, a tank having a central core, a turntable including an electric motor for rotating the tank and a base for supporting the tank. The central core includes an electrical conduit for transporting electrical wires to the light fixture in the canopy. The central core also includes a water pipe that is connected to a reservoir mounted within the base of the aquarium. The reservoir includes a pump that circulates water throughout the aquarium. The tank rotates about the central core via the turntable and the electric motor. As the tank rotates, the fish and living coral receive light at different angles and receive superior water circulation. The aquarium of this invention therefore provides an environment more like the ocean for the animals living therein.","Rotating aquarium"
05704489,"A circuit board handling and testing apparatus comprising a housing which defines a top surface. Attached to the housing is a magazine assembly which accommodates a plurality of circuit boards and is adapted to dispense the circuit boards onto a testing assembly attached to the housing one at a time. Each of the circuit boards stored within the magazine assembly defines a longitudinal axis. The testing assembly includes a modular testing component for receiving the circuit board dispensed onto the testing assembly and performing a testing protocol thereon. A reciprocal transport assembly attached to the housing pushes the circuit board dispensed onto the testing assembly laterally relative to its longitudinal axis into the modular testing component of the testing assembly. A sorting assembly which is also attached to the housing selectively directs the tested circuit board into a particular containment vessel based upon the outcome of the testing protocol. The testing assembly is adapted to eject the circuit board into the sorting assembly subsequent to the completion of the testing protocol, with the modular testing component being selectively removable from the testing assembly and replaceable with an alternative modular testing component.","SIMM/DIMM board handler"
05704357,"A magnetic resonance imaging uses a fast SE-related multiple slice technique which permits a decreased SAR, a reduced MTC effect, and still offers excellent image contrast. The imaging includes a process of applying to an object placed in a static magnetic field a one excitation RF pulse in synchronization with a pulse of slice-selective magnetic field gradient applied to the object; a process of consecutively applying to the object a plurality of refocusing RF pulses each of which being applied in synchronization with another pulse of slice-selective magnetic field gradient applied to the object; and a process of consecutively acquiring a plurality of spin echoes emanated from the object each with a pulse of phase-encoding magnetic field gradient applied to the object, each of said plurality of spin echoes being emanated responsively to each of said plurality of refocusing RF pulses. A flip angle of one of the refocusing RF pulses is set to a first value which is either equal to or less than 180.degree., said one of the refocusing RF pulses being assigned for phase-encoding at each location in a phase-encoding direction of a central block containing a non-encoding location of a k-space into which the spin echoes are mapped every block. Flip angles of the remaining refocusing RF pulses are set to a second value smaller than the first value.","Method of producing MR image and MRI system"
