patent,asgtype,assignee,city,state,country,nationality,residence,asgseq
03858392,2,"ICI AMERICAS INC.","","","","","",0
03859458,3,"HITACHI, LTD","","","","","",0
03859411,2,"ETHYL CORPORATION","","","","","",0
03858962,2,"CONNECTRONICS CORPORATION","","","","","",0
03858302,2,"USX CORPORATION","","","","","",0
03859650,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858540,3,"AB SVENSKA FLAKTFABRIKEN","","","","","",0
03859247,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858734,2,"ERNEST HOLMES COMPANY","","","","","",0
03858450,2,"COULTER ELECTRONICS INC.","","","","","",0
03858686,1,"","","","","","",0
03858814,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859620,6,"UNITED STATES OF AMERICA, NAVY","","","","","",0
03859322,2,"BUCKMAN LABORATORIES, INC.","","","","","",0
03858521,3,"CANADIAN PATENTS AND DEVELOPMENT LTD.","","","","","",0
03858272,2,"BEATRICE COMPANIES, INC.","","","","","",0
03858309,3,"JECO CO., LTD.","","","","","",0
03858631,3,"SKOGSAGAREFORENINGEN MELLANSKOG U.P.A.","","","","","",0
03858652,2,"MARATHON OIL COMPANY","","","","","",0
03858811,2,"HARPER-WYMAN COMPANY","","","","","",0
03859481,1,"","","","","","",0
03858441,5,"","","","","","",0
03858938,3,"LANDSTINGENS INKOPSCENTRAL","","","","","",0
03858330,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858269,2,"PERFORMANCE INDUSTRIES, INC.","","","","","",0
03858624,3,"PRODUCTIONS SARCEM S.A.","","","","","",0
03859262,3,"HOECHST AKTIENGESELLSCHAFT","","","","","",0
03859106,3,"NATIONAL RESEARCH DEVELOPMENT CORPORATION","","","","","",0
03858561,3,"NISSAN MOTOR COMPANY, LIMITED","","","","","",0
03858367,1,"","","","","","",0
03859157,2,"MORGAN ADHESIVES COMPANY","","","","","",0
03858616,3,"INSTITUT FRANCAIS DU PETROLE","","","","","",0
03858334,2,"EISENHAUER MANUFACTURING COMPANY","","","","","",0
03859045,2,"ALLIED-SIGNAL INC.","","","","","",0
03859028,2,"SHELL OIL COMPANY","","","","","",0
03858940,2,"WILCOX MANUFACTURING CO. INC.","","","","","",0
03858948,2,"GOODYEAR TIRE + RUBBER COMPANY","","","","","",0
03858979,3,"COLORANT SCHMUCKSTEIN GMBH, FIRMA","","","","","",0
03858833,1,"","","","","","",0
03858846,1,"","","","","","",0
03858285,3,"IMPERIAL CHEMICAL INDUSTRIES PLC","","","","","",0
03858921,3,"AISIN SEIKI KABUSHIKI KAISHA","","","","","",0
03858451,2,"SINGER COMPANY","","","","","",0
03858857,2,"MONSANTO COMPANY, INC.","","","","","",0
03859559,2,"UNISYS CORPORATION","","","","","",0
03859611,3,"HAZEMEIJER B.V.","","","","","",0
03858963,2,"APOLLO LASERS INC.","","","","","",0
03859288,2,"PFIZER INC.","","","","","",0
03858305,2,"U.S. PHILIPS CORPORATION","","","","","",0
03858316,1,"","","","","","",0
03859415,3,"NORTH WESTERN GAS BOARD","","","","","",0
03859456,2,"INTERNATIONAL STANDARD ELECTRIC CORPORATION(ITT CORP. UNIT)","","","","","",0
03859520,6,"UNITED STATES OF AMERICA, DEPARTMENT OF THE INTERIOR","","","","","",0
03858598,2,"CAMERON IRON WORKS, INC.","","","","","",0
03859266,2,"CELANESE COATINGS + SPECIALTIES COMPANY","","","","","",0
03858566,1,"","","","","","",0
03859364,2,"EASTMAN KODAK COMPANY","","","","","",0
03858683,2,"ZURN INDUSTRIES, INC.","","","","","",0
03859271,3,"SUMITOMO CHEMICAL COMPANY, LIMITED","","","","","",0
03858473,3,"SCHUBERT + SALZER MASCHINENFABRIK AKTIENGESELLSCHAFT","","","","","",0
03859588,2,"ELECTRO-PETROLEUM INC. MESNE","","","","","",0
03859502,2,"ANTHONY S MANUFACTURING COMPANY, INC.","","","","","",0
03858531,1,"","","","","","",0
03858361,2,"CHEMETRON CORPORATION","","","","","",0
03858552,3,"NIPPON KOKAN KABUSHIKI KAISHA","","","","","",0
03858656,2,"TEXACO INC.","","","","","",0
03859177,3,THOMSON-CSF,"","","","","",0
03858340,1,"","","","","","",0
03858388,3,"SUWA SEIKOSHA CO., LTD.","","","","","",0
03859469,2,"GTE AUTOMATIC ELECTRIC LABORATORIES INCORPORATED","","","","","",0
03858871,1,"","","","","","",0
03858459,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859511,2,"M. WALKER ASSOCIATES, INC.","","","","","",0
03858486,1,"","","","","","",0
03858809,2,"AVCO CORPORATION","","","","","",0
03858960,2,"AMP INCORPORATED","","","","","",0
03858807,3,"CIBA-GEIGY AG","","","","","",0
03858720,2,"MEDIA SYSTEMS CORPORATION","","","","","",0
03858276,1,"","","","","","",0
03859124,2,"PROCTOR CHEMICAL COMPANY, INC.","","","","","",0
03859232,1,"","","","","","",0
03859149,3,"ROLLS-ROYCE PLC","","","","","",0
03859098,3,"KONICA CORPORATION","","","","","",0
03859435,3,"SPA-SOCIETA PRODOTTI ANTIBIATICS S.P.A.","","","","","",0
03858877,1,"","","","","","",0
03858653,1,"","","","","","",0
03858694,3,"SOCIETE DAUPHINOISE ELECTRIQUE","","","","","",0
03858800,2,"STANDARD THOMSON CORPORATION","","","","","",0
03859150,2,"TEXTRON INC.","","","","","",0
03859295,1,"","","","","","",0
03859276,2,"MERCK + CO., INC.","","","","","",0
03859493,2,"RAYTHEON COMPANY","","","","","",0
03859350,3,"HOECHST AKTIENGESELLSCHAFT","","","","","",0
03859451,6,"UNITED STATES OF AMERICA, DEPARTMENT OF AGRICULTURE","","","","","",0
03859633,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859311,2,UOP,"","","","","",0
03859473,2,"STROMBERG-CARLSON CORP.","","","","","",0
03859463,2,"T.A.D. AVANTI INC.","","","","","",0
03858588,2,"CLAIROL INCORPORATED","","","","","",0
03859125,2,"GILBRETH COMPANY","","","","","",0
03858295,2,"INGERSOLL-RAND COMPANY","","","","","",0
03858628,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858831,2,"TEXTRON INC.","","","","","",0
03859299,3,"BAYER AKTIENGESELLSCHAFT","","","","","",0
03858312,2,"THOMAS INTERNATIONAL CORPORATION","","","","","",0
03858389,3,"SUWA SEIKOSHA CO., LTD.","","","","","",0
03858557,2,"CURTISS-WRIGHT CORPORATION","","","","","",0
03858997,1,"","","","","","",0
03858957,2,"AMP INCORPORATED","","","","","",0
03858650,2,"HYDRIL COMPANY","","","","","",0
03859448,2,"INTERNATIONAL FEED IMPROVEMENT ASSOCIATION, INC.","","","","","",0
03859632,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859206,2,"BELOIT CORPORATION","","","","","",0
03859360,2,"EXXON RESEARCH + ENGINEERING CO.","","","","","",0
03858944,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858562,2,"BRUNSWICK CORPORATION","","","","","",0
03858615,2,"PURITAN-BENNETT CORPORATION","","","","","",0
03858398,2,"VIBROFLOTATION FOUNDATION COMPANY","","","","","",0
03858373,2,"TEXTRON INC.","","","","","",0
03859643,2,"CORNING INCORPORATED","","","","","",0
03858688,2,"G. W. GALLOWAY COMPANY, INC.","","","","","",0
03858517,3,"DEMAG AKTIENGESELLSCHAFT","","","","","",0
03859306,1,"","","","","","",0
03858565,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858556,1,"","","","","","",0
03858471,2,"MANCO MANUFACTURING CO.","","","","","",0
03859652,2,"NORTH AMERICAN SYSTEMS, INC.","","","","","",0
03859461,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859332,2,"STAUFFER CHEMICAL COMPANY","","","","","",0
03858825,3,"KLIPPAN GMBH HAMBURG","","","","","",0
03859024,3,"UNIROYAL, A.G.","","","","","",0
03859075,2,"FMC CORPORATION","","","","","",0
03858880,1,"","","","","","",0
03858369,1,"","","","","","",0
03859639,2,"U.S. PHILIPS CORPORATION","","","","","",0
03858371,2,"BOEING COMPANY","","","","","",0
03859272,3,"HOECHST AKTIENGESELLSCHAFT","","","","","",0
03858576,3,"HUGO SACHS ELECTRONIK KG","","","","","",0
03858281,1,"","","","","","",0
03859570,2,"BOSE CORPORATION","","","","","",0
03858629,2,"SUN OIL COMPANY OF PENNSYLVANIA","","","","","",0
03859635,1,"","","","","","",0
03858752,2,"PLASTICS RESEARCH CORPORATION","","","","","",0
03858943,3,"MIAG MUEHLENBAU UND INDUSTRIE GMBH","","","","","",0
03859313,2,"MOBIL OIL CORP.","","","","","",0
03858982,3,"WERNICKE + CO., K.G., FIRMA","","","","","",0
03858936,2,"COSCO, INC.","","","","","",0
03859129,2,"CORNING INCORPORATED","","","","","",0
03858574,1,"","","","","","",0
03858376,1,"","","","","","",0
03858661,3,"E. C. HALLAM AND COMPANY","","","","","",0
03859427,2,"ALUMINUM COMPANY OF AMERICA","","","","","",0
03859470,2,"AT&T CORP.","","","","","",0
03858452,2,"VEMCO PRODUCTS, INC.","","","","","",0
03858419,1,"","","","","","",0
03859136,2,"E.S.B. INCORPORATED","","","","","",0
03859187,2,"HOECHST CELANESE CORPORATION","","","","","",0
03858782,2,"OMARK INDUSTRIES, INC.","","","","","",0
03858901,2,"FMC CORPORATION","","","","","",0
03858257,1,"","","","","","",0
03859555,2,"GTE PRODUCTS CORPORATION","","","","","",0
03858828,2,"EASTMAN KODAK COMPANY","","","","","",0
03859556,2,"NICOLET INSTRUMENT CORPORATION","","","","","",0
03859111,3,"GENERAL COMPANY LIMITED","","","","","",0
03859131,2,"BAIRD CORPORATION","","","","","",0
03859108,2,"LAWRENCE PAPER COMPANY","","","","","",0
03858456,2,"DEERE + COMPANY","","","","","",0
03859595,2,"AT&T CORP.","","","","","",0
03858735,2,"IOWA MOLD TOOLING CO., INC.","","","","","",0
03858776,2,"SOUTHWIRE COMPANY","","","","","",0
03859228,3,"TOYO JOZO COMPANY, LTD.","","","","","",0
03859117,1,"","","","","","",0
03859496,2,"COMFORT PRODUCTS, INC.","","","","","",0
03859601,3,"MARCONI COMPANY LIMITED","","","","","",0
03858318,3,"KAJIMA KENSETSU KABUSHIKI KAISHA","","","","","",0
03859033,2,"EXXON RESEARCH + ENGINEERING CO.","","","","","",0
03859416,2,UOP,"","","","","",0
03858697,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858466,3,"AB BAHCO VERKTYG","","","","","",0
03859080,6,"UNITED STATES OF AMERICA, DEPARTMENT OF THE INTERIOR","","","","","",0
03859348,1,"","","","","","",0
03859508,3,"DASY INTER S.A.","","","","","",0
03859561,1,"","","","","","",0
03858457,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859487,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03858474,2,"B. F. GOODRICH CO.","","","","","",0
03858884,3,"LES JOUETS EDUCATIFS UNIVERSELS","","","","","",0
03858512,3,"ROLAND OFFSETMASCHINENFABRIK FABER + SCHLEICHER AG","","","","","",0
03859015,1,"","","","","","",0
03858390,2,"GARRETT CORPORATION","","","","","",0
03858553,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859310,2,"EASTMAN KODAK COMPANY","","","","","",0
03858832,2,"ROLAIR SYSTEMS INC.","","","","","",0
03858534,2,"INTERSTATE UTILITIES CORPORATION","","","","","",0
03858292,2,"ARTOS ENGINEERING COMPANY","","","","","",0
03858645,1,"","","","","","",0
03859066,3,"TRUTZSCHLER GMBH & CO. KG","","","","","",0
03858704,3,"KUROSAWA TELE-COMMUNICATIONS LIMITED","","","","","",0
03858391,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859290,3,"SANDOZ LTD.","","","","","",0
03858904,3,"IMPERIAL METAL INDUSTRIES (KYNOCH) LIMITED","","","","","",0
03859447,2,"LEVER BROS. CO., DIVISION OF CONOPCO, INC.","","","","","",0
03859077,1,"","","","","","",0
03859257,3,"DYNAMIT NOBEL AKTIENGESELLSCHAFT","","","","","",0
03859171,2,"HOFFMANN-LA ROCHE INC.","","","","","",0
03859552,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859030,2,"NABISCO, INC.","","","","","",0
03858500,2,"BROWN INTERNATIONAL CORPORATION","","","","","",0
03858381,2,"XEROX CORPORATION","","","","","",0
03858306,2,"HONEYWELL INC.","","","","","",0
03859089,2,"MINNESOTA MINING AND MANUFACTURING COMPANY","","","","","",0
03858581,1,"","","","","","",0
03859062,3,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","","","","","",0
03858817,3,"OY NOKIA AB FINNISH CABLE WORKS","","","","","",0
03859515,2,"UNISYS CORPORATION","","","","","",0
03859414,2,UOP,"","","","","",0
03859294,2,"HOFFMANN-LA ROCHE INC.","","","","","",0
03859162,2,"MINNESOTA MINING AND MANUFACTURING COMPANY","","","","","",0
03858754,2,"NATIONAL CAN CORPORATION","","","","","",0
03859370,2,"EXXON RESEARCH + ENGINEERING CO.","","","","","",0
03858853,1,"","","","","","",0
03859624,1,"","","","","","",0
03858280,2,"I. D. ENGINEERING, INC.","","","","","",0
03859260,1,"","","","","","",0
03858914,2,"BRASS-CRAFT MANUFACTURING CO.","","","","","",0
03859564,1,"","","","","","",0
03859095,3,"AGFA-GEVAERT, AG","","","","","",0
03859662,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03858968,2,"EASTMAN KODAK COMPANY","","","","","",0
03858357,2,"MCGUIRE, W. B., CO., INC.","","","","","",0
03858241,6,"UNITED STATES OF AMERICA, ARMY","","","","","",0
03859422,6,"UNITED STATES OF AMERICA, DEPARTMENT OF ENERGY","","","","","",0
03859217,2,"MONSANTO COMPANY, INC.","","","","","",0
03859086,2,"INTERNATIONAL NICKEL COMPANY, INC.","","","","","",0
03859152,2,"FIRESTONE TIRE & RUBBER CO.","","","","","",0
03859465,3,"LICENTIA PATENT-VERWALTUNGS-GMBH","","","","","",0
03858252,1,"","","","","","",0
03858432,2,"THE MINSTER MACHINE COMPANY","","","","","",0
03858346,2,"ALLIED-SIGNAL INC.","","","","","",0
03858543,2,"BRUNSWICK CORPORATION","","","","","",0
03858651,2,"DRESSER INDUSTRIES, INC.","","","","","",0
03858870,3,"FUJI PHOTO FILM CO., LTD","","","","","",0
03858315,2,"WARNER-LAMBERT COMPANY","","","","","",0
03859029,1,"","","","","","",0
03859581,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858282,1,"","","","","","",0
03859145,6,"UNITED STATES OF AMERICA, DEPARTMENT OF ENERGY","","","","","",0
03858913,1,"","","","","","",0
03858966,1,"","","","","","",0
03858617,3,"TAKATA KOJYO CO., LTD.","","","","","",0
03859441,2,"UPJOHN COMPANY","","","","","",0
03858468,3,"LACREX BREVETTI S.A.","","","","","",0
03859006,3,"WEIR PUMPS LIMITED","","","","","",0
03858681,1,"","","","","","",0
03858625,2,"INTERLAKE INC.","","","","","",0
03858902,2,"SYRACUSE UNIVERSITY RESEARCH CORPORATION","","","","","",0
03859569,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858829,2,"BELL + HOWELL COMPANY","","","","","",0
03858595,2,"CHAMPION INDUSTRIES, INC.","","","","","",0
03859148,2,"AT&T CORP.","","","","","",0
03858350,1,"","","","","","",0
03859628,3,"PIRELLI SOCIETA PER AZIONI CENTRO PIRELLI","","","","","",0
03858841,1,"","","","","","",0
03858907,1,"","","","","","",0
03859598,2,"TEXAS INSTRUMENTS, INCORPORATED","","","","","",0
03858429,3,"EUMUCO AKTIENGESELLSCHAFT FUR MASCHINENBAU","","","","","",0
03858401,2,"REGAN OFFSHORE INTERNATIONAL, INC.","","","","","",0
03858332,1,"","","","","","",0
03858690,1,"","","","","","",0
03858518,1,"","","","","","",0
03859273,3,"SCIENCE UNION ET CIE, SOCIETE FRANCAISE DE RECHERCHE MEDICAL","","","","","",0
03858496,1,"","","","","","",0
03859625,2,"BUDD COMPANY","","","","","",0
03858718,2,"ROYAL HINGE   DIE COMPANY, INC.","","","","","",0
03858961,2,"ITT CORPORATION","","","","","",0
03858989,1,"","","","","","",0
03858584,2,"RAYMOND LEE ORGANIZATION","","","","","",0
03858530,2,"AMCO CORPORATION","","","","","",0
03859186,3,"A.G. FUR INDUSTRIELLE ELEKTRONIK AGIE LOSONE B. LOCARNO","","","","","",0
03859248,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858924,1,"","","","","","",0
03858978,2,"KASPER INSTRUMENTS INC.","","","","","",0
03858883,1,"","","","","","",0
03858852,3,"BAYER AKTIENGESELLSCHAFT","","","","","",0
03859462,2,"ITT CORPORATION","","","","","",0
03859397,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859316,3,"SUDDEUTSCHE KALKSTICKSTOFF-WERKE AKTIENGESELLSCHAFT","","","","","",0
03858623,2,"HUYCK CORPORATION","","","","","",0
03858975,3,"CANON KABUSHIKI KAISHA","","","","","",0
03859365,2,"EASTMAN KODAK COMPANY","","","","","",0
03858816,3,RHONE-POULENC-TEXTILE,"","","","","",0
03859293,3,"SANKYO COMPANY LIMITED","","","","","",0
03859664,2,"HONEYWELL INFORMATION SYSTEMS INC.","","","","","",0
03859229,2,"NCR CORPORATION","","","","","",0
03858597,1,"","","","","","",0
03858824,2,"ALLIED-SIGNAL INC.","","","","","",0
03859327,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03858433,2,"CARBORUNDUM COMPANY","","","","","",0
03858747,1,"","","","","","",0
03859135,3,"LUCAS INDUSTRIES PUBLIC LTD. COMPANY","","","","","",0
03858297,4,"","","","","","",0
03858655,2,"PHILLIPS PETROLEUM COMPANY","","","","","",0
03858568,2,"RAYTHEON COMPANY","","","","","",0
03859600,2,"INTERNATIONAL STANDARD ELECTRIC CORPORATION(ITT CORP. UNIT)","","","","","",0
03858503,3,"IKEGAI TEKKO KABUSHIKI KAISHA  IKEGAI IRON WORKS,","","","","","",0
03858869,3,"MORGAN FAIREST LIMITED","","","","","",0
03858900,1,"","","","","","",0
03858499,2,"RESEARCH DEVELOPMENT SYSTEMS, INC.","","","","","",0
03859270,2,"AZS CORPORATION","","","","","",0
03859495,3,"NIPPON KOKAN KABUSHIKI KAISHA","","","","","",0
03859402,2,"E.S.B. INCORPORATED","","","","","",0
03859407,2,"CORNING INCORPORATED","","","","","",0
03859256,3,"BOEHRINGER INGELHEIM, GMBH","","","","","",0
03858872,2,"MATTEL INC.","","","","","",0
03858958,3,"INTERNATIONAL COMPUTERS LIMITED","","","","","",0
03858668,3,"SOCIETE GENERALE DE CONSTRUCTIONS ELECTRIQUES ET MECANIQUES","","","","","",0
03858607,2,"ARMCO INC.","","","","","",0
03858551,3,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","","","","","",0
03859049,1,"","","","","","",0
03858248,1,"","","","","","",0
03858268,1,"","","","","","",0
03859606,2,"EDMAC ASSOCIATES INC.","","","","","",0
03859202,2,"GULF RESEARCH AND DEVELOPMENT COMPANY","","","","","",0
03858634,1,"","","","","","",0
03859163,3,"SCAPA DRYERS (CANADA) LTD.","","","","","",0
03858461,2,"UNISYS CORPORATION","","","","","",0
03859005,1,"","","","","","",0
03858964,2,"U.S. PHILIPS CORPORATION","","","","","",0
03859042,2,"ALLIED-SIGNAL INC.","","","","","",0
03859231,2,"GULF RESEARCH AND DEVELOPMENT COMPANY","","","","","",0
03858954,2,"SINGER COMPANY","","","","","",0
03858894,2,"SKISEARCH, INC.","","","","","",0
03858582,2,"IMS COMPANY","","","","","",0
03859198,3,"ZIRCONAL PROCESSES LIMITED","","","","","",0
03858479,2,"HI SHEAR CORPORATION","","","","","",0
03858727,1,"","","","","","",0
03859269,2,"WESTVACO CORPORATION","","","","","",0
03858580,2,"IMS COMPANY","","","","","",0
03859244,2,"GOODYEAR TIRE + RUBBER COMPANY","","","","","",0
03859070,2,"OWENS-CORNING FIBERGLAS CORPORATION","","","","","",0
03858945,2,"ITT CORPORATION","","","","","",0
03858801,2,"STANDARD THOMSON CORPORATION","","","","","",0
03858572,2,"KENDALL COMPANY","","","","","",0
03858539,2,"TEXTRON INC.","","","","","",0
03859636,2,"AT&T CORP.","","","","","",0
03859661,6,"UNITED STATES OF AMERICA, AIR FORCE","","","","","",0
03858862,2,"STANDARD BOX SPRING COMPANY","","","","","",0
03858511,2,"HERCULES INCORPORATED","","","","","",0
03858431,2,"APPLIED POWER INC.","","","","","",0
03859558,3,"HITACHI, LTD","","","","","",0
03859363,1,"","","","","","",0
03858738,1,"","","","","","",0
03858485,1,"","","","","","",0
03858972,3,"CABIN KOGYO KABUSHIKI KAISHA","","","","","",0
03859210,1,"","","","","","",0
03858636,2,"FIRESTONE TIRE & RUBBER CO.","","","","","",0
03858749,2,"BISON MANUFACTURING COMPANY, INC.","","","","","",0
03859524,2,"SCHLUMBERGER TECHNOLOGY CORPORATION","","","","","",0
03859197,3,RHONE-PROGIL,"","","","","",0
03858383,2,"ROCKWELL INTERNATIONAL CORPORATION","","","","","",0
03858256,1,"","","","","","",0
03859046,3,"FOSROC AG","","","","","",0
03859109,3,"BRITISH TITAN LIMITED","","","","","",0
03858711,1,"","","","","","",0
03858423,1,"","","","","","",0
03858592,1,"","","","","","",0
03859281,2,"AMERICAN HOME PRODUCTS CORPORATION","","","","","",0
03859226,3,"LEYBOLD-HERAEUS GMBH","","","","","",0
03858533,1,"","","","","","",0
03858604,1,"","","","","","",0
03858404,2,"UNION CARBIDE CORPORATION","","","","","",0
03859433,2,"HERCULES INCORPORATED","","","","","",0
03859219,2,"CHEVRON RESEARCH & TECHNOLOGY CO.","","","","","",0
03858294,1,"","","","","","",0
03859592,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03858335,1,"","","","","","",0
03858976,1,"","","","","","",0
03859605,2,"DIGILIN INCORPORATED","","","","","",0
03859176,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859050,1,"","","","","","",0
03858567,1,"","","","","","",0
03859144,2,"UNITED TECHNOLOGIES CORPORATION","","","","","",0
03859567,2,"AMF INCORPORATED","","","","","",0
03859013,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859254,2,"EASTMAN KODAK COMPANY","","","","","",0
03859388,2,"PHILLIPS PETROLEUM COMPANY","","","","","",0
03858737,1,"","","","","","",0
03859001,2,"TEXTRON INC.","","","","","",0
03858344,1,"","","","","","",0
03858547,1,"","","","","","",0
03858458,3,"CANADIAN GENERAL ELECTRIC COMPANY LIMITED","","","","","",0
03859428,2,UOP,"","","","","",0
03859174,1,"","","","","","",0
03859133,3,"VARTA BATTERIE A.G.","","","","","",0
03858460,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858994,2,"CARBORUNDUM COMPANY","","","","","",0
03858506,2,"NCR CORPORATION","","","","","",0
03859663,2,"UNISYS CORPORATION","","","","","",0
03859087,2,"GTE PRODUCTS CORPORATION","","","","","",0
03858759,4,"","","","","","",0
03858546,2,"HEAT AND CONTROL, INC.","","","","","",0
03858827,1,"","","","","","",0
03858544,2,"INTERNATIONAL STANDARD ELECTRIC CORPORATION(ITT CORP. UNIT)","","","","","",0
03858275,2,"HALLIBURTON CO.","","","","","",0
03858781,2,"FASTENER CORPORATION","","","","","",0
03859032,2,"EXTRUSION DIES, INCORPORATED","","","","","",0
03858888,1,"","","","","","",0
03858952,2,"STEINER AMERICAN CORPORATION","","","","","",0
03858985,1,"","","","","","",0
03859014,3,"ROBERT BOSCH GMBH","","","","","",0
03859220,1,"","","","","","",0
03859123,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859071,2,"U.S. PHILIPS CORPORATION","","","","","",0
03859386,2,"EASTMAN KODAK COMPANY","","","","","",0
03859035,2,"RONSON CORPORATION","","","","","",0
03858326,1,"","","","","","",0
03858887,1,"","","","","","",0
03859378,3,"SANDOZ LTD.","","","","","",0
03858721,2,"AT&T CORP.","","","","","",0
03858890,2,"BORG-WARNER CORPORATION","","","","","",0
03858969,1,"","","","","","",0
03859450,3,"BARREIROS HNOS, S.A. FINANCIERA ALCALA","","","","","",0
03859597,2,"U.S. PHILIPS CORPORATION","","","","","",0
03859382,2,"FIRESTONE TIRE & RUBBER CO.","","","","","",0
03859243,2,"FORMICA CORP.","","","","","",0
03859503,1,"","","","","","",0
03859429,1,"","","","","","",0
03858600,3,"ANTARGAZ SOCIETE ANONYME DE DISTRIBUTION DE GAZ LIQUIDES DE","","","","","",0
03858856,1,"","","","","","",0
03858602,2,"BALDWIN-GEGENHEIMER CORPORATION","","","","","",0
03858692,1,"","","","","","",0
03859480,3,"BLAUPUNKT-WERKE GMBH","","","","","",0
03858731,1,"","","","","","",0
03859330,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859094,2,"MINNESOTA MINING AND MANUFACTURING COMPANY","","","","","",0
03859303,3,"FUJI PHOTO FILM CO., LTD","","","","","",0
03859547,1,"","","","","","",0
03858495,1,"","","","","","",0
03859010,1,"","","","","","",0
03859443,2,"MERCK + CO., INC.","","","","","",0
03859521,2,"MCDONNELL DOUGLAS CORP.","","","","","",0
03858836,1,"","","","","","",0
03858545,2,"BAKER PERKINS INC.","","","","","",0
03858678,2,"TENNECO INC.","","","","","",0
03859587,2,"LORAIN PRODUCTS CORPORATION","","","","","",0
03859454,2,"PRODUCTION PRODUCTS, INC.","","","","","",0
03858663,2,"ALLIED PRODUCTS CORP.","","","","","",0
03858422,3,"TOKYO SHARYO SEIZO KABUSHIKI KAISHA","","","","","",0
03858400,1,"","","","","","",0
03859234,2,"GENERAL MILLS CHEMICALS, INC.","","","","","",0
03858891,2,HITCO,"","","","","",0
03859449,5,"","","","","","",0
03859385,2,"EASTMAN KODAK COMPANY","","","","","",0
03858263,1,"","","","","","",0
03859519,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03859078,3,"SYDNEY STEEL CORPORATION","","","","","",0
03859548,2,"AMF INCORPORATED","","","","","",0
03859326,3,"NITTO CHEMICAL INDUSTRY CO., LTD.","","","","","",0
03858528,2,"INTERLAKE INC.","","","","","",0
03859011,1,"","","","","","",0
03859321,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03859230,2,"FLUOR CORPORATION","","","","","",0
03858472,2,"WEBER-KNAPP COMPANY","","","","","",0
03859560,2,"OWENS-ILLINOIS INC.","","","","","",0
03859161,2,"LONE STAR CONTAINER CORPORATION","","","","","",0
03858307,3,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","","","","","",0
03859607,2,"TELONIC INDUSTRIES, INC.","","","","","",0
03858680,3,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","","","","","",0
03859225,3,"STAMFORD CHEMICAL INDUSTRIES, INC.","","","","","",0
03858932,2,"LEGGETT + PLATT INCORPORATED","","","","","",0
03859238,3,"VEBA-CHEMIE AKTIENGESELLSCHAFT","","","","","",0
03859158,2,"HOECHST CELANESE CORPORATION","","","","","",0
03858674,1,"","","","","","",0
03859091,2,"W. R. GRACE & CO.-CONN.","","","","","",0
03859359,2,"ETHYL CORPORATION","","","","","",0
03858437,6,"UNITED STATES OF AMERICA, NAVY","","","","","",0
03859185,2,"KENNECOTT CORPORATION","","","","","",0
03859550,1,"","","","","","",0
03858892,3,"WERKZEUGMASCHINENFABRIK OERLIKON-BUHRLE AG","","","","","",0
03858898,1,"","","","","","",0
03858311,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858729,2,"AMSTED INDUSTRIES, INCORPORATED","","","","","",0
03859253,3,"RHONE-POULENC S.A.","","","","","",0
03859337,2,"STAUFFER CHEMICAL COMPANY","","","","","",0
03859093,3,"AGFA-GEVAERT, AG","","","","","",0
03858949,2,"GATES RUBBER COMPANY","","","","","",0
03859659,2,"SANDERS ASSOCIATES INC.","","","","","",0
