patent,claim
06848123,"14. The sheet winding machine for a toilet stool according to , wherein the arc press pad is formed at a central external surface thereof with a sprocket and is connected at a tip end thereof with a chain and the arc press pad is rotated with the support frame and the bearing positioned at both sides of a floor of a base plate under the arc press pad."
06848124,"1. A pop-up nozzle assembly for cleaning a swimming pool, said nozzle assembly comprising in combination:







"
06848124,"2. A pop-up nozzle assembly as set forth in  wherein said cam reverser is rotatable in response to said pattern cam to alter the relationship of said protrusions relative to said upper and lower saw tooth guides."
06848124,"3. A pop-up nozzle assembly as set forth in  wherein said pattern cam is replaceable."
06848124,"4. A pop-up nozzle assembly as set forth in  including a key and a keyway for mating said pattern cam with said sleeve to cause said pattern cam to rotate commensurately with rotation of said sleeve."
06848124,"5. A pop-up nozzle assembly as set forth in  wherein said pattern cam includes two radial edges, the angle between said edges corresponding with the predetermined angle."
06848124,"6. A pop-up nozzle assembly as set forth in  including an arm extending from said cam reverser, said arm being engaged by one of said edges of said pattern cam to cause repositioning of said cam reverser to reverse the direction of rotation of said sleeve and said nozzle housing."
06848124,"7. A pop-up nozzle as set forth in  including a lock for setting the orientation of the predetermined angle relative to the vertical axis of said pop-up nozzle assembly."
06848124,"8. A nozzle assembly for cleaning a swimming pool, said nozzle assembly comprising in combination:






"
06848124,"9. A nozzle assembly as set forth in  wherein said cam ring includes a plurality of upper saw tooth members and a plurality of lower saw tooth members for guiding said pin."
06848124,"10. A nozzle assembly as set forth in  wherein said cam reverser includes a plurality of protrusions for guiding said pin intermediate said upper and lower saw tooth members."
06848124,"11. A nozzle assembly as set forth in  wherein said cam ring includes a disc having a pair of radial edges for defining the angular limits of rotation of said nozzle housing."
06848124,"12. A nozzle assembly as set forth in  wherein said cam reverser includes an arm for sequential engagement by said radial edges causing translation of said arm to reposition said cam reverser and reverse the direction of rotation of said nozzle housing."
06848124,"13. A nozzle assembly as set forth in  wherein said radial edges sequentially urge repositioning of an arm extending from said cam reverser to reposition said cam reverser at each limit of rotational movement of said nozzle housing."
06848124,"14. A nozzle assembly as set forth in  including a pair of diametrically opposed pins extending from said nozzle housing for engaging said cam ring."
06848124,"15. A nozzle assembly as set forth in  including an erectable sleeve responsive to water being conveyed to said body for supporting said nozzle housing."
06848124,"16. A nozzle assembly as set forth in  wherein said pattern cam is supported on said sleeve and including a key and keyway intermediate said sleeve and said pattern cam."
06848124,"17. A nozzle assembly as set forth in  including a pair of diametrically opposed pins extending from said nozzle housing for engaging said cam ring."
06848124,"18. A nozzle assembly as set forth in  including a lock for setting the orientation of the predetermined angle relative to the vertical axis of said pop-up nozzle assembly."
06848125,"1. A prefabricated swimming pool comprising:

"
06848125,"2. A prefabricated swimming pool according to , wherein a back face of the panels also having fitted to it a lower tiebar and a diagonal brace as well as other reinforcing members all of them being of adjustable length."
06848125,"3. A prefabricated swimming pool according to , wherein each of the base supports rests on the ground with two end channels, the front channel determining a perimetral divider being provided in the structure and serving a purpose of retaining the sand being arranged in a compacted arrangement on the surface and forming the base supporting the bottom of the holder."
06848125,"4. A prefabricated swimming pool according to , wherein the tensioning members are made up of steel ropes being provided with means allowing to adjust their tensioning."
06848125,"5. A prefabricated swimming pool according to , wherein the perimetral structure is made up of modules each of which comprises several base supports, a side member and several panels."
06848125,"6. A prefabricated swimming pool according to , wherein the edges of the water holder also cover a perimetral overflow channel."
06848126,"1. A mobile, portable, washing bowl and sink bowl device that employs water comprising:











"
06848126,"2. The upper flexible hose according to  wherein


"
06848126,"3. The lower flexible hose according to  wherein



"
06848126,"4. A water tank according to  wherein

"
06848126,"5. A vertical support riser according to  wherein

"
06848126,"6. A washing bowl support plate according to  wherein


"
06848126,"7. A sink bowl according to  wherein

"
06848126,"8. A sink bowl according to  wherein

"
06848126,"9. A sink support arm according to  wherein

"
06848126,"10. An arm rest support according to  wherein

"
06848127,"1. A folding sofa bed comprising: a mat section divided lengthwise into at least three parts, namely a front mat, a center mat and a rear mat; a support frame for supporting part of said rear mat and center mat; and a movable storage container which supports the rest of said center mat and most of said front mat; wherein one end of said rear mat and one end of said center mat are foldably connected, and a front end of said rear mat is supported so as to be rotatable up and down by a front of said support frame, an other end of said center mat is supported so as to be rotatable up and down by said movable storage container, and one end of said front mat is supported so as to be rotatable up and down by said movable storage container, and by employing a construction wherein said movable storage container is stored within said support frame, when said movable storage container is stored within said support frame, said rear mat and center mat fold into an inverse V-shape to form a backrest, and said front mat becomes a seat thus forming the sofa, and when said movable container is pulled out from within said support frame, said front mat, center mat and rear mat become a continuous flat surface thus forming the mat section."
06848127,"2. A folding sofa bed according to , further comprising a handle for opening the center mat and the rear mat."
06848127,"3. A folding sofa bed according to , wherein wheels are provided on four corners of the bottom of said movable storage container, and rails for guiding said wheels are provided on the bottom of both sides of said support frame, and said movable storage container is movable by moving said wheels on the four corners of the bottom of said movable container back and forth upon said rails."
06848127,"4. A folding sofa bed according to , wherein a support portion of the rear mat of said mat section supported on said support frame, a junction between said rear mat and said center mat, a support portion of the rear mat supported on said movable storage container, and a support portion of the front mat supported on said movable storage container are each connected or supported using spring loaded buffers."
06848127,"5. A folding sofa bed according to , further comprising a buckle for latching together the center mat and the rear mat which form the backrest."
06848127,"6. A folding sofa bed according to , wherein the total length of said movable container is approximately half the length of the bed."
06848127,"7. A folding sofa bed according to , wherein when used as a sofa, said front mat is supported by said movable storage container in such a way that said front mat can open upward from the front of the sofa."
06848127,"8. A folding sofa bed according to , wherein the support frame is provided with a side panel spacer which maintains slidability with the movable storage container."
06848127,"9. A folding sofa bed according to , further comprising a pull handle which is mounted to a front panel of the movable storage container."
06848127,"10. A folding sofa bed, comprising: a mat section divided lengthwise into at least three parts, namely a front mat, a center mat and a rear mat; a support frame for supporting part of said rear mat and center mat; and a movable storage container which supports the rest of said center mat and most of said front mat; wherein one end of said rear mat and one end of said center mat are foldably connected, and a front end of said rear mat is supported so as to be rotatable up and down by a front of said support frame, an other end of said center mat is supported so as to be rotatable up and down by said movable storage container, and one end of said front mat is supported so as to be rotatable up and down by said movable storage container, and by employing a construction wherein said movable storage container is stored within said support frame, when said movable storage container is stored within said support frame, said rear mat and center mat fold into an inverse V-shape to form a backrest, and said front mat becomes a seat thus forming the sofa, and when said movable container is pulled out from within said support frame, said front mat, center mat and rear mat become a continuous flat surface thus forming the mat section; and wherein the construction is such that when in bed form, approximately half of said center mat is supported by said support frame, and the remainder of said center mat is supported by said movable storage container."
06848127,"11. A folding sofa bed comprising: a mat section divided lengthwise into at least three parts, namely a front mat, a center mat and a rear mat; a support frame for supporting part of said rear mat and center mat; and a movable storage container which supports the rest of said center mat and most of said front mat; wherein one end of said rear mat and one end of said center mat are foldably connected, and a front end of said rear mat is supported so as to be rotatable up and down by a front of said support frame, an other end of said center mat is supported so as to be rotatable up and down by said movable storage container, and one end of said front mat is supported so as to be rotatable up and down by said movable storage container, and by employing a construction wherein said movable storage container is stored within said support frame, when said movable storage container is stored within said support frame, said rear mat and center mat fold into an inverse V-shape to form a backrest, and said front mat becomes a seat thus forming the sofa, and when said movable container is pulled out from within said support frame, said front mat, center mat and rear mat become a continuous flat surface thus forming the mat section; and wherein a removable connector is used at the junction connecting the rear mat and the center mat of said mat section."
06848128,"1. A portable infant cushion comprising:








"
06848128,"2. The portable infant cushion according to  wherein said side wall is a unitary ring structure."
06848128,"3. The portable infant cushion according to  wherein said ring insert is a unitary ring structure identical to said side wall."
06848128,"4. The portable infant cushion according to  wherein said base, said side wall and said insert ring are resilient structures made of French terry cloth material filled with batting."
06848128,"5. A portable infant cushion comprising:






"
06848128,"6. The portable infant cushion according to  wherein said pocket includes a closure connected to and extending around the perimeter of said cushion, said closure being opened to remove said layer of cushion material from said pocket, said closure being closed after insertion of said layer of cushion material into said pocket."
06848128,"7. The portable infant cushion according to  wherein said closure includes a tab for opening and closing said closure."
06848128,"8. The portable infant cushion according to  wherein said at least a portion of said blanket is non-releasably secured to said side wall."
06848128,"9. The portable infant cushion according to  wherein said at least a portion of said blanket is releasably secured to said side wall."
06848128,"10. A portable infant cushion comprising:








"
06848128,"11. The portable infant cushion according to  wherein said at least a portion of said blanket is non-releasably secured to said side wall."
06848128,"12. The portable infant cushion according to  wherein said at least a portion of said blanket is releasably secured to said side wall."
06848128,"13. Apparatus comprising: an infant bassinet and a portable infant cushion for insertion in said infant bassinet, said infant bassinet comprising:








"
06848128,"14. The apparatus according to  wherein said top surface includes a body support portion connected to said base and loagitudinally spaced from said head support for supporting the body of an infant."
06848128,"15. The apparatus according to  further comprising handles attached to said sidewall for transporting said cushion."
06848128,"16. The apparatus according to  further comprising a removable ring insert for placement on said base and for engaging an inner area of said side wall and for reducing the top surface of said base available for the infant adapted to be placed on said top surface to engage."
06848128,"17. The apparatus according to  wherein said at least a portion of said blanket is non-releasably secured to said side wall."
06848128,"18. The apparatus according to  wherein said at least a portion of said blanket is releasably secured to said side wall."
06848129,"1. A crib apparatus, comprising:




"
06848129,"2. The crib apparatus of , further comprising at least one access panel configurable for preventing the mattress from being slidably removed through the access opening when the at least one access panel is in a first position and for providing access for slidably removing the mattress through the access opening when the at least one access panel is in a second position."
06848129,"3. The crib apparatus of , further comprising a locking mechanism, the locking mechanism being configured so as to prevent removal of the mattress from the crib apparatus."
06848129,"4. The crib apparatus of , wherein the locking mechanism comprises a first portion fixedly attached to the at least one access panel and a second portion fixedly attached to at least one of the headboard and the footboard, the first and second portions of the locking mechanism being coupled together while in a first position and being uncoupled from one another while in a second position."
06848129,"5. The crib apparatus of , wherein the at least one access panel is pivotally attached to at least one of the headboard and the footboard, the access panel being configured so as to provide a surface for supporting the mattress while the mattress is slidably removed from the crib apparatus."
06848129,"6. The crib apparatus of , wherein at least one of the first and second side rails is configured such that a height of the at least one side rail can be lowered and raised, in relation to the headboard and footboard, between a plurality of vertical positions, a first one of the positions corresponding to a locked position and at least a second one of the positions corresponding to a lowered position."
06848129,"7. The crib apparatus of , wherein the crib apparatus is configured such that the at least one side rail can be placed in the lowered position when the mattress is at least partially slid out from the crib apparatus."
06848129,"8. The crib apparatus of , wherein the mattress frame is slidably attached to at least the headboard and footboard, the mattress frame being configured such that the mattress frame can be slid out substantially horizontally from the crib apparatus through the access opening in at least one of the headboard and footboard."
06848129,"9. The crib apparatus of , wherein the mattress frame is configurable for selectively adjusting a height of the mattress."
06848129,"10. The crib apparatus of , wherein at least one of the headboard, footboard, and first and second side rails is at least partially formed having a plurality of spaced vertical bar members."
06848129,"11. The crib apparatus of , wherein each of the headboard and the footboard include at least two support legs spaced laterally from one another at opposite ends of the headboard and footboard, each of the support legs including a plurality of vertically spaced attachment positions, the height of the attachment positions on a given support leg being substantially the same as corresponding attachment positions associated with the other support legs, whereby a height of the mattress frame is selectively adjustable by attaching the mattress frame to the support legs at corresponding attachment positions on the support legs."
06848129,"12. The crib apparatus of , further comprising alarm circuitry for at least one of detecting and indicating a presence of an alarm condition."
06848129,"13. The crib apparatus of , further comprising a plurality of support legs, each of the support legs being attached to a corresponding corner of the mattress frame, the support legs being configurable for selectively adjusting a height of the crib apparatus."
06848129,"14. The crib apparatus of , wherein a width of the first and second side rails is greater than a width of at least one of the headboard and the footboard."
06848129,"15. A crib apparatus, comprising:





"
06848129,"16. A crib apparatus, comprising:






"
06848129,"17. The crib apparatus of , wherein the alarm indication comprises at least one of an audible indicator and a visual indicator."
06848129,"18. The crib apparatus of , wherein the alarm circuitry is configurable for providing an indication of the presence of the alarm condition to a remote location."
06848129,"19. A crib apparatus, comprising:





"
06848129,"20. The crib apparatus of , wherein the tray includes at least one opening formed therein to facilitate grasping of the mattress frame for sliding the mattress from the crib apparatus."
06848130,"1. A bed pad wedge system including a wedge installed at each lateral edge of a fitted mattress pad, as a guard, comprising a fitted mattress pad enclosing a mattress and fastened thereto, said mattress pad including two pockets each fastened to said mattress pad at each lateral edge of said mattress pad, said pockets are installed on the underside of said mattress pad facing an outer surface of said mattress pad, said pockets are each formed by a first seam located at an edge of said mattress pad and a second seam located inside of said mattress pad and away from said first seam at the edge of said mattress, a foam rubber wedge is located in each of said pockets."
06848130,"2. The bed pad wedge system of  including a third pocket located in the middle of said mattress pad between each of said edges of said mattress pad."
06848130,"3. The bed pad wedge system of  wherein each of said wedges has the shape of an obtuse triangle."
06848130,"4. The bed pad wedge system of , wherein each of said foam rubber wedges is encased in a slippery material."
06848130,"5. The bed wedge system of , wherein each end of said wedges encased in said slippery material has means for closing said ends."
06848130,"6. The bed pad wedge system of  including means for closing each end of said packets."
06848131,"1. A combination safety sheet/blanket for infants, comprising:






"
06848131,"2. The safety sheet/blanket combination of , wherein each said strap being attached to said spacer."
06848131,"3. The safety sheet/blanket combination of , said spacer including a plurality of apertures;

"
06848131,"4. The safety sheet/blanket combination of , further comprising snap fasteners disposed at the top and bottom surfaces of said first blanket portion and the top and bottom surfaces of said second blanket portion for reducing the width of said blanket."
06848131,"5. The safety sheet/blanket combination of , further comprising first and second fasteners disposed on said flat sheet along each of said opposing ends for selectively reducing the width of said flat sheet."
06848132,"1. A bedside organizer for positioning on a bed, the bed having a top surface width and two sides, comprising:


"
06848132,"2. The bedside organizer as recited in , wherein the pouches are constructed from an elastic material."
06848133,"1. A care bed, comprising:








"
06848133,"2. The care bed as claimed in , wherein the bedpan is supported through an elevating base as to be freely elevating with respect to the bed main body, the elevating base being coupled to a frame of a bedpan unit that is provided to be freely sliding with respect to the bed main body through a parallel link mechanism; wherein an elevation driving device for swing driving the bedpan between the lifted position in which it is located above the bed main body through the parallel link mechanism and the descended position in which it is stored downward of the bed main body is provided whereas on the other hand, the bedpan is supported in a freely sliding manner with respect to the bed main body through the bedpan unit and a slide driving device for sliding the bedpan in the lifted position through the bedpan unit is provided."
06848133,"3. The care bed as claimed in , wherein the excrement collecting device for sucking and collecting excrements from the bedpan includes a suction hose connected to the bedpan for sucking excrements, a suction device that is connected to the hose for setting the interior of the hose to negative pressure so as to suck and transfer the excrements through the hose, an excrement tank for collecting excrements that are transported through the hose, and an excrement tank holder for fixing the excrement tank in a freely attachable/detachable manner."
06848133,"4. The care bed as claimed in , comprising:





"
06848133,"5. The care bed as claimed in , wherein water of the warm water tank is used in common as washing water and cleaning water and wherein the cleaning hose to the bedpan also serves as a washing water hose."
06848133,"6. The care bed as claimed in , comprising:







"
06848133,"7. The care bed as claimed in , wherein a washing water supplying device for supplying washing water for washing excrements to a washing water discharge outlet of the bedpan is provided, wherein waste water after washing is collected through the excrement collecting device together with the excrements."
06848133,"8. The care bed as claimed in , wherein a cleaning device for supplying warm water for cleaning one's pubic region after excretion from a warm water tank to a discharge outlet within the bedpan and for jetting the same through the discharge outlet is provided, wherein waste water after cleaning is received by the bedpan and collected through the excrement collecting device."
06848133,"9. The care bed as claimed in , wherein the bedpan comprises an opening for receiving excrements when being located to oppose one's pubic region and wherein a cover is provided to extend frontward from an upper portion of the opening, the cover being held by a holding mechanism which angle is adjustable, either in a multi-staged or non-staged manner, so as to adjust the size of the opening and to shield one's pubic region to be hardly visible from above."
06848133,"10. The care bed as claimed in , wherein the bedpan comprises an opening for receiving excrements when being located to oppose one's pubic region and wherein an elastic member is provided on a part or the entire peripheral portion of the opening such that the elastic member may contact peripheries of pubic regions of a care-receiving person."
06848133,"11. The care bed as claimed in , comprising:





"
06848133,"12. A care bed, comprising:





"
06848133,"13. The care bed as claimed in , wherein a deodorizing chamber for reducing odor of circuiting air passing through the excrement tank is assembled to a part of the circulating conduit such that air that has passed through the excrement tank is circuited upon passing through the deodorizing chamber."
06848133,"14. The care bed as claimed in , wherein the circulating conduit is provided, as the releasing unit, with a discharge outlet for discharging a part of the circulating air to the exterior and an adjusting valve for adjusting discharge amount of air through the discharge outlet."
06848133,"15. The care bed as claimed in , comprising:





"
06848134,"1. A backboard pad comprising:




"
06848134,"2. The backboard pad of , wherein said scapula pads are spaced on either side of a longitudinally aligned spinal trough."
06848134,"3. The backboard pad of , wherein said gel-filled pads are comprised of bladders filled with a gel selected from the group consisting of urethane gels, silicone gels, and thermoplastic elastomers."
06848134,"4. The backboard pad of , wherein said inflatable pads are comprised of a bladder having a valve stem connectable with a source of compressed air."
06848134,"5. The backboard pad of , wherein said base pad is formed of a gel."
06848134,"6. The backboard pad of , wherein said base pad includes gel pad openings, said scapula pads, buttocks pad and heel pad being within said openings."
06848134,"7. The backboard pad of , wherein said knee pad is longitudinally adjustable."
06848134,"8. A backboard pad for use in transporting immobilized patients on a backboard having side edges with handholds along said side edges and a top surface, said backboard pad being comprised of:




"
06848134,"9. The backboard pad of , wherein said gel-filled pads are comprised of bladders filled with a gel selected from the group consisting of urethane gels, silicone gels, and thermoplastic elastomers."
06848134,"10. The backboard pad of , wherein each of said inflatable pads are comprised of a bladder having a valve stem connectable with a source of compressed air."
06848134,"11. The backboard pad of , wherein said base pad is formed of a gel."
06848134,"12. The backboard pad of , wherein said base pad includes gel pad openings, said scapula pads, buttocks pad and heel pad being within said openings."
06848134,"13. A patient carrier for use in transporting immobilized patients comprising:





"
06848134,"14. The carrier of , wherein said knee pad is slidably mounted on said base pad for longitudinal movement between said buttocks pad and said heel pad."
06848134,"15. The carrier of , wherein said gel-filled pads are comprised of bladders filled with a gel selected from the group consisting of urethane gels, silicone gels, and thermoplastic elastomers."
06848134,"16. The carrier of , further including restraining straps for securing a patient onto the top surface of said backboard pad."
06848134,"17. The carrier of , wherein each of said inflatable pads are comprised of a bladder having a valve stem connectable with a source of compressed air."
06848134,"18. The carrier of , wherein said base pad is formed of a gel."
06848134,"19. The carrier of , wherein said base pad includes gel pad openings, said scapula pads, buttocks pad and heel pad being secured to said base pad within said openings."
06848134,"20. The carrier of , further including a head restraint strap with a gel-filled cushioning pad positionable on the front of the patient's head."
06848135,"1. A monitoring system for monitoring inflation pressure within an inflatable cushion, comprising:




"
06848135,"2. The monitoring system of  further comprising a means for releasably attaching the housing to a frame."
06848135,"3. The monitoring system of  wherein the means for releasably attaching the housing to a frame is a sleeve configured and arranged to retain the housing and having at least one hook and loop strap."
06848135,"4. The monitoring system of  further comprising an inflation means in pneumatic communication with the tube."
06848135,"5. The monitoring system of  wherein the inflation means is a manual pump."
06848135,"6. The monitoring system of  further comprising a release valve in pneumatic communication with the tube."
06848135,"7. The monitoring system of  wherein the housing is less than 40 cubic inches in size."
06848135,"8. The monitoring system of  wherein the perceptible signal is a visual signal."
06848135,"9. The monitoring system of  wherein the perceptible signal is an audible signal."
06848135,"10. The monitoring system of  wherein the perceptible signal is a tactile signal."
06848136,"1. A bedding comprising:





"
06848136,"2. A bedding comprising:





"
06848136,"3. A bedding as set forth in any one of claims  and , wherein said cushion body is formed from a laminated elastic material consisted of an upper layer, an intermediate layer and a lower layer, and said intermediate layer has the highest hardness among constituent layers."
06848136,"4. A bedding as set forth in any one of claims  and , wherein said cover is formed from a stretchable material which is stretchable in arbitrary direction."
06848137,"1. An incline-adjustable air mattress, adapted to elevate a user's head and legs relative to a user's torso, comprising:





"
06848137,"2. The incline-adjustable air mattress as described in , wherein said each of said intermediate section has a main wall and a perimeter wall and also has air valves being conventionally disposed in said perimeter wall, said perimeter wall of each said intermediate section including side and end walls, said side walls being tapered away from said end walls."
06848137,"3. The incline-adjustable air mattress as described in , wherein each of said upper section has a main wall and a perimeter wall and also has air valves being disposed in said perimeter wall, said perimeter wall of each said upper section including side and end walls, said side walls of said upper sections being tapered away from said end walls of said upper sections."
06848138,"1. A patient support surface, comprising:



"
06848138,"2. A patient support surface as in , wherein said upper region in said lower leg and foot supporting area includes respective support elements which are relatively reduced in size and shape for forming said decreasing angled support."
06848138,"3. A patient support surface as in , wherein said upper region includes air circulation channels defined between said respective support elements and wherein said air circulation channels are relatively increased in size within said lower leg and foot supporting area, for greater independence of said respective support elements and for greater air circulation, in said lower leg and foot supporting area."
06848138,"4. A patient support surface as in , wherein said decreasing angled support is at an angle in a range of from about 4 degrees to about 10 degrees relative to the remainder of said patient receiving surface."
06848138,"5. A patient support surface as in , wherein said body of resilient foam is formed as a foam topper for being received on the top of another mattress or further support surface, for use therewith and also comprises a perimeter base of support for said foam topper formed by a set of end rails and side bolsters with inner bolsters therein."
06848138,"6. A patient support surface as in , wherein said body of resilient foam is formed in combination with additional support elements for collectively defining therewith a mattress supplement."
06848138,"7. A patient support surface as in , wherein said body of resilient foam is formed in combination with additional support elements for collectively defining therewith a mattress."
06848139,"1. A device combining



"
06848139,"2. The device of , wherein the power source comprises a battery having a first terminal and a second terminal, with the first and second terminals being of opposite polarity, whereby the first terminal of the battery is the first terminal of the power source and the second terminal of the battery is the second terminal of the power source."
06848139,"3. The device of  wherein the power source comprises



"
06848139,"4. The device of , wherein the indicator is selected from the group comprising a lamp and a buzzer."
06848139,"5. The device of , wherein the testing component is a continuity tester."
06848139,"6. The device of , wherein the continuity tester is further comprised of





"
06848139,"7. The device of , wherein the apertures situated along the outer skin of the handle grip are aligned with the first contact plate, the second contact plate, and the indicator."
06848139,"8. The device of , wherein the continuity tester is further comprised of



"
06848139,"9. The device of , wherein the continuity tester is further comprised of


"
06848139,"10. The device of , wherein the apertures situated along the outer skin of the handle grip are aligned with the first integrated contact plate, the second integrated contact plate, and the indicator."
06848139,"11. The device of , further comprising



"
06848139,"12. The device of , wherein the second handle grip is further comprised of reinforcing ribs situated within the interior space and exterior to the handle pocket and the tester pocket."
06848139,"13. The device of , wherein the second handle grip is constructed of a material selected from the group comprising rigid plastic, rubberized plastic, polycarbonate, and polystyrene."
06848139,"14. The device of , wherein the handle grip is further comprised of reinforcing ribs situated within the interior space and exterior to the handle pocket and the tester pocket."
06848139,"15. The device of , wherein the handle grip is constructed of a material selected from the group comprising rigid plastic, rubberized plastic, polycarbonate, and polystyrene."
06848139,"16. A device, combining



"
06848140,"1. A method of changing system data in a washing machine that includes a memory, divided into a predetermined number of sectors, for enabling data read/write, an interface section for exchanging data with an external device, and a microcomputer for controlling components of the washing machine so that a washing operation corresponding to an operation command of a user is performed, and storing data transmitted from the external device in the memory or changing the data stored in the memory, wherein programs for data communication with the external device or between the components of the washing machine are scored in at least one of the memory and the microcomputer, the method comprising the steps of:




"
06848140,"2. The method according to , wherein the data of the third sector is deleted during a data download performed after the data that excludes the changed data among the data of the third sector is copied into the second sector."
06848140,"3. The method according to , further comprising the steps of:


"
06848140,"4. The method as claimed in , further comprising the steps of:


"
06848140,"5. A method of changing system data in a washing machine that includes a memory, divided into a predetermined number of sectors, for enabling data read/write, an interface section for exchanging data with an external device, and a microcomputer for controlling components of the washing machine so that a washing operation corresponding to an operation command of a user is performed, and storing data transmitted from the external device in the memory or changing the data stored in the memory, wherein programs for data communication with the external device or between the components of the washing machine are stored in at least one of the memory and the microcomputer, the method comprising the steps of:





"
06848140,"6. The method as claimed in , further comprising the step of if it is judged that the download has not been normally performed, displaying a message for informing a download failure through the display section."
06848140,"7. The method as claimed in , further comprising the step of it is judged that the download has not been normally performed, ignoring a user's key input, during the step of restoring the stored data of the third sector into the second sector."
06848140,"8. The method according to , wherein the data of the third sector is deleted during a data download performed after the data that excludes the changed data among the data of the third sector is copied into the second sector."
06848140,"9. The method according to , further comprising the steps of:


"
06848140,"10. A method of changing system data in a washing machine that includes a memory, divided into a predetermined number of sectors, for enabling data read/write, an interface section for exchanging data with an external device, and a microcomputer for controlling components of the washing machine so that a washing operation corresponding to an operation command of a user is performed, and storing data transmitted from the external device in the memory or changing the data stored in the memory, wherein programs for data communication with the external device or between the components of the washing machine are stored in at least one of the memory and the microcomputer, the method comprising the steps of:







"
06848140,"11. The method according to , further comprising the steps of:


"
06848140,"12. The method according to , further comprising the step of if the download has not been normally performed, displaying a message for informing a download failure, and then displaying a message for selecting a download re-execution or a data restoration."
06848140,"13. The method according to , further comprising the step of if the user selects a download re-execution or a data restoration, ignoring the user's key input during performing a corresponding work."
06848140,"14. The method according to , further comprising the step of if the user selects a download re-execution or a data restoration, displaying a state of a corresponding work."
06848140,"15. The method according to , further comprising the step of if the data restoration is completed, displaying that the washing process is performed by the previous program."
06848140,"16. The method according to , wherein the data of the third sector is deleted during a data download performed after the data that excludes the changed data among the data of the third sector is copied into the second sector."
06848140,"17. A method of changing system data in a washing machine that includes a memory, divided into a predetermined number of sectors, for enabling data read/write, an interface section for exchanging data with an external device, and a microcomputer for controlling components of the washing machine so that a washing operation corresponding to an operation command of a user is performed, and storing data transmitted from the external device in the memory or changing the data stored in the memory, wherein programs for data communication with the external device or between the components of the washing machine are stored in at least one of the memory and the microcomputer, the method comprising the steps of:








"
06848140,"18. The method according to , further comprising the steps of:


"
06848140,"19. The method according to , further comprising the step of if the download has not been normally performed, displaying a message for informing a download failure, and then displaying a message for selecting a download re-execution or a data restoration."
06848140,"20. The method according to , further comprising the step of it the user selects a download re-execution or a data restoration, ignoring the user's key input during performing a corresponding work."
06848140,"21. The method according to , further comprising the step of if the user selects a download re-execution or a data restoration, displaying a state of a corresponding work."
06848140,"22. The method according to , further comprising the step of if the data restoration is completed, displaying that the washing process is performed by the previous program."
06848140,"23. The method according to , wherein the data of the third sector is deleted during a data download performed after the data that excludes the changed data among the data of the third sector is copied into the second sector."
06848140,"24. The method according to , wherein the step of displaying the version of the program changed through the download is a step of display the version of the corresponding program throughout the display of an initial washing state is displayed after the change of the program."
06848140,"25. The method according to , wherein the step of displaying the version of the program changed through the download is a step of displaying the version of the corresponding program throughout the display of all washing states after the change of the program."
06848140,"26. The method according to , wherein the step of displaying the version of the program changed through the download is a step of displaying the version of the corresponding program when the user inputs a specified key."
06848140,"27. The method according to , wherein the specified key is a version confirmation key or combination of at least one function key."
06848141,"1. A brush section for an electric powered toothbrush comprising,












"
06848141,"2. The brush section of , wherein said bristle carrier has one finger extending therefrom."
06848141,"3. The brush section of , wherein the face of said bristle carrier is generally egg-shaped."
06848141,"4. The brush section of , wherein said carrier has two fingers extending therefrom."
06848141,"5. The brush section of , wherein said carrier has three fingers extending therefrom."
06848141,"6. The brush section of , wherein the convex curve has a radius of curvature of at least about 1 mm."
06848141,"7. The brush section of , wherein the free toe end is configured as a convex curve arcing away from the face surface."
06848141,"8. The brush section of , wherein the convex curve of the free toe end has a radius of curvature of at least about 0.5 mm."
06848141,"9. The brush section of , wherein the plurality of bristles tufts extending from the first portion of said face are arranged in generally concentric rings and the bristles tufts extending from the one or more fingers are arranged in rows."
06848141,"10. The brush section of , wherein the bristle tufts in said rows are longer than the bristle tufts within the concentric rings of bristle tufts."
06848141,"11. The brush section of , wherein the brush section is integrally joined to the handle section."
06848141,"12. A brush section for an electric toothbrush comprising, a first end having a connector adapted to be joined to a handle section; a second end containing a head, which head terminates in a toe and contains a bristle carrier support having an upper surface, the head and connector are generally aligned along the longitudinal axis of the toothbrush; a single, unitary bristle carrier which is centrally supported by rotational means from the upper surface of a said bristle carrier support; which bristle carrier support has a first end integral with the head and a second free, toe end; the bristle carrier support extends from said head to a point between the toe of the head and the center of said bristle carrier; the bristle carrier has a front edge which is convex with respect to said connector, which convex front edge arcs transversely further from the longitudinal axis of said toothbrush than any point on the upper surface of said bristle carrier support, such that in use the users lip or gingival tissue will not be pinched between the front edge of the bristle carrier and the upper surface of the bristle carrier support."
06848141,"13. The brush section of , wherein the free toe end is a convex arc in relation to said connector."
06848142,"1. A manipulator assembly for attachment to a bucket of a construction vehicle, said assembly comprising:







"
06848142,"2. An assembly as set forth in  wherein said pin supported by said support, such that said pin is extendable through said support hole and said arm hole for engaging the bucket."
06848142,"3. An assembly as set forth in  wherein said biasing device further includes a spring engaging said pin and either one of said support and said mounting arm for biasing said pin through said arm hole."
06848142,"4. An assembly as set forth in  wherein said quick-release connector further includes a stop engaging said pin, said stop being rotatable between a locked position and an unlocked position."
